name,year,area,genre,score,comment_people,tags
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...2002,美国 加拿大,传记 犯罪 剧情,9.1,0人评价,无标签
天空之城,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka,日本,动画 奇幻 冒险,9.2,0人评价,无标签
鬼子来了,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang,中国大陆,剧情 喜剧,9.3,0人评价,无标签
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan,印度,剧情 传记 运动 家庭,9.0,0人评价,无标签
少年派的奇幻漂流,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,0人评价,无标签
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,0人评价,无标签
死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams,美国,剧情,9.2,0人评价,无标签
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,美国 新西兰,剧情 动作 奇幻 冒险,9.2,0人评价,无标签
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,0人评价,无标签
绿皮书,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,0人评价,无标签
何以为家,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,0人评价,无标签
闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino,美国,剧情,9.1,0人评价,无标签
大闹天宫,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu,中国大陆,剧情 动画 奇幻 古装,9.4,0人评价,无标签
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski,美国,动作 科幻,9.1,0人评价,无标签
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,新西兰 美国 英国,剧情 动作 奇幻 冒险,9.1,0人评价,无标签
罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn,美国,喜剧 剧情 爱情,9.1,0人评价,无标签
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...1974,美国,剧情 犯罪,9.3,0人评价,无标签
狮子王,导演: Roger Allers,美国,动画 冒险 歌舞,9.1,0人评价,无标签
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...1988,意大利 法国,剧情 爱情,9.2,0人评价,无标签
饮食男女,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung,中国台湾 美国,剧情 家庭,9.2,0人评价,无标签
辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song,韩国,剧情,9.2,0人评价,无标签
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt,美国,剧情 爱情 奇幻,9.0,0人评价,无标签
搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton,美国,剧情 动作 悬疑 惊悚,9.0,0人评价,无标签
美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe,美国,传记 剧情,9.1,0人评价,无标签
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...2008,英国 美国,剧情 战争,9.2,0人评价,无标签
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...2011,美国 英国,奇幻 冒险,9.0,0人评价,无标签
两杆大烟枪,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng,英国,剧情 喜剧 犯罪,9.1,0人评价,无标签
情书,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama,日本,剧情 爱情,8.9,0人评价,无标签
窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...2006,德国,剧情 悬疑,9.2,0人评价,无标签
功夫,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,0人评价,无标签
音乐之声,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews,美国,剧情 传记 爱情 歌舞,9.1,0人评价,无标签
哈利·波特与阿兹卡班的囚徒,导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...2004,英国 美国,奇幻 冒险,9.0,0人评价,无标签
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...2009,美国,动作 科幻 冒险,8.8,0人评价,无标签
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...2000,意大利 美国,剧情 战争 情色,8.9,0人评价,无标签
看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas,西班牙,剧情 犯罪 悬疑 惊悚,8.8,0人评价,无标签
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...1998,美国,剧情 战争,9.1,0人评价,无标签
沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster,美国,剧情 犯罪 惊悚,8.9,0人评价,无标签
小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...1997,伊朗,剧情 儿童 家庭,9.2,0人评价,无标签
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,0人评价,无标签
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes,美国 德国 英国,剧情 喜剧 冒险,8.9,0人评价,无标签
还有明天,导演: 宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...2023,意大利,剧情 喜剧 历史,9.3,0人评价,无标签
飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...1975,美国,剧情,9.1,0人评价,无标签
禁闭岛,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio,美国,剧情 悬疑 惊悚,8.9,0人评价,无标签
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon,美国,剧情,9.0,0人评价,无标签
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...2006,英国 美国,剧情 悬疑 惊悚,8.9,0人评价,无标签
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...1994,美国,剧情 喜剧 犯罪,8.9,0人评价,无标签
哈利·波特与密室,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe,英国 美国,奇幻 冒险,8.9,0人评价,无标签
超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody,美国,剧情,9.0,0人评价,无标签
一一,导演: 杨德昌 Edward Yang   主演: 吴念真,中国台湾 日本,剧情 爱情 家庭,9.1,0人评价,无标签
喜剧之王,导演: 周星驰 Stephen Chow,中国香港,喜剧 剧情 爱情,8.8,0人评价,无标签
杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,0人评价,无标签
致命ID,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack,美国,剧情 悬疑 惊悚,8.9,0人评价,无标签
摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...1936,美国,剧情 喜剧 爱情,9.3,0人评价,无标签
春光乍泄,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung,中国香港 日本 韩国,剧情 爱情 同性,9.0,0人评价,无标签
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp,美国,动作 冒险 奇幻,8.8,0人评价,无标签
海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...2009,美国,纪录片,9.3,0人评价,无标签
美国往事,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...1984,美国 意大利,犯罪 剧情,9.1,0人评价,无标签
红辣椒,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara,日本,动画 悬疑 科幻 惊悚,9.0,0人评价,无标签
七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman,美国,剧情 犯罪 悬疑 惊悚,8.8,0人评价,无标签
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow,中国香港,喜剧 爱情 古装,8.8,0人评价,无标签
